날짜,전체 산업,농업 임업 및 어업(01~03),광업(05~08),제조업(10~34),전기 가스 증기 및 공기조절 공급업(35),수도 하수 및 폐기물 처리 원료 재생업(36~39),건설업(41~42),도매 및 소매업(45~47),운수 및 창고업(49~52),숙박 및 음식점업(55~56),정보통신업(58~63),금융 및 보험업(64~66),부동산업(68),전문 과학 및 기술 서비스업(70~73),사업시설 관리 사업 지원 및 임대 서비스업(74~76),공공행정 국방 및 사회보장 행정(84),교육 서비스업(85),보건업 및 사회복지 서비스업(86~87),예술 스포츠 및 여가관련 서비스업(90~91),협회 및 단체 수리 및 기타 개인 서비스업(94~96)
2009-06-01,17163373.916666668,29902.583333333332,16325.166666666666,3329393.8333333335,51658.25,83397.0,1016978.6666666666,2618278.9166666665,981800.0,1757582.6666666667,445940.5,701528.5,413899.25,747480.9166666666,780888.5833333334,659852.5,1391720.8333333333,1029808.5,320719.9166666667,786217.3333333334
2009-07-01,17232459.5,29835.5,16276.0,3342686.0,51644.5,83502.0,1039814.0,2618265.5,982939.0,1758059.0,448543.0,703420.0,414407.5,750567.5,787967.5,660287.0,1397317.0,1039527.0,320610.5,786791.0
2009-08-01,17301545.083333332,29768.416666666668,16226.833333333334,3355978.1666666665,51630.75,83607.0,1062649.3333333333,2618252.0833333335,984078.0,1758535.3333333333,451145.5,705311.5,414915.75,753654.0833333334,795046.4166666666,660721.5,1402913.1666666667,1049245.5,320501.0833333333,787364.6666666666
2009-09-01,17370630.666666668,29701.333333333332,16177.666666666666,3369270.3333333335,51617.0,83712.0,1085484.6666666667,2618238.6666666665,985217.0,1759011.6666666667,453748.0,707203.0,415424.0,756740.6666666666,802125.3333333334,661156.0,1408509.3333333333,1058964.0,320391.6666666667,787938.3333333334
2009-10-01,17439716.25,29634.25,16128.5,3382562.5,51603.25,83817.0,1108320.0,2618225.25,986356.0,1759488.0,456350.5,709094.5,415932.25,759827.25,809204.25,661590.5,1414105.5,1068682.5,320282.25,788512.0
2009-11-01,17508801.833333332,29567.166666666668,16079.333333333334,3395854.6666666665,51589.5,83922.0,1131155.3333333333,2618211.8333333335,987495.0,1759964.3333333333,458953.0,710986.0,416440.5,762913.8333333334,816283.1666666666,662025.0,1419701.6666666667,1078401.0,320172.8333333333,789085.6666666666
2009-12-01,17577887.416666668,29500.083333333332,16030.166666666666,3409146.8333333335,51575.75,84027.0,1153990.6666666667,2618198.4166666665,988634.0,1760440.6666666667,461555.5,712877.5,416948.75,766000.4166666666,823362.0833333334,662459.5,1425297.8333333333,1088119.5,320063.4166666667,789659.3333333334
2010-01-01,17646973.0,29433.0,15981.0,3422439.0,51562.0,84132.0,1176826.0,2618185.0,989773.0,1760917.0,464158.0,714769.0,417457.0,769087.0,830441.0,662894.0,1430894.0,1097838.0,319954.0,790233.0
2010-02-01,17684152.5,29583.166666666668,15934.916666666666,3439401.5,51571.5,84438.0,1171906.0,2624111.6666666665,990496.6666666666,1767088.75,465179.1666666667,715777.4166666666,417442.25,770700.9166666666,831980.6666666666,660687.75,1431524.6666666667,1102984.1666666667,321036.0833333333,792307.25
2010-03-01,17721332.0,29733.333333333332,15888.833333333334,3456364.0,51581.0,84744.0,1166986.0,2630038.3333333335,991220.3333333334,1773260.5,466200.3333333333,716785.8333333334,417427.5,772314.8333333334,833520.3333333334,658481.5,1432155.3333333333,1108130.3333333333,322118.1666666667,794381.5
