,전체,중졸이하,고졸,전문대졸,대졸,대학원졸
2014-01-01,16701.0,10172.0,12859.0,15652.0,21594.0,33193.0
2014-02-01,16640.75,10158.25,12811.833333333334,15571.833333333334,21472.166666666668,33232.75
2014-03-01,16580.5,10144.5,12764.666666666666,15491.666666666666,21350.333333333332,33272.5
2014-04-01,16520.25,10130.75,12717.5,15411.5,21228.5,33312.25
2014-05-01,16460.0,10117.0,12670.333333333334,15331.333333333334,21106.666666666668,33352.0
2014-06-01,16399.75,10103.25,12623.166666666666,15251.166666666666,20984.833333333332,33391.75
2014-07-01,16339.5,10089.5,12576.0,15171.0,20863.0,33431.5
2014-08-01,16279.25,10075.75,12528.833333333334,15090.833333333334,20741.166666666668,33471.25
2014-09-01,16219.0,10062.0,12481.666666666666,15010.666666666666,20619.333333333332,33511.0
2014-10-01,16158.75,10048.25,12434.5,14930.5,20497.5,33550.75
2014-11-01,16098.5,10034.5,12387.333333333334,14850.333333333334,20375.666666666668,33590.5
2014-12-01,16038.25,10020.75,12340.166666666666,14770.166666666666,20253.833333333332,33630.25
2015-01-01,15978.0,10007.0,12293.0,14690.0,20132.0,33670.0
2015-02-01,16038.916666666666,10055.75,12346.833333333334,14746.166666666666,20216.0,33609.166666666664
2015-03-01,16099.833333333334,10104.5,12400.666666666666,14802.333333333334,20300.0,33548.333333333336
2015-04-01,16160.75,10153.25,12454.5,14858.5,20384.0,33487.5
2015-05-01,16221.666666666666,10202.0,12508.333333333334,14914.666666666666,20468.0,33426.666666666664
2015-06-01,16282.583333333334,10250.75,12562.166666666666,14970.833333333334,20552.0,33365.833333333336
2015-07-01,16343.5,10299.5,12616.0,15027.0,20636.0,33305.0
2015-08-01,16404.416666666668,10348.25,12669.833333333334,15083.166666666666,20720.0,33244.166666666664
2015-09-01,16465.333333333332,10397.0,12723.666666666666,15139.333333333334,20804.0,33183.333333333336
2015-10-01,16526.25,10445.75,12777.5,15195.5,20888.0,33122.5
2015-11-01,16587.166666666668,10494.5,12831.333333333334,15251.666666666666,20972.0,33061.666666666664
2015-12-01,16648.083333333332,10543.25,12885.166666666666,15307.833333333334,21056.0,33000.833333333336
