,전체 산업,"농업, 임업 및 어업(01~03)",광업(05~08),제조업(10~34),"전기, 가스, 증기 및 공기조절 공급업(35)","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",건설업(41~42),도매 및 소매업(45~47),운수 및 창고업(49~52),숙박 및 음식점업(55~56),정보통신업(58~63),금융 및 보험업(64~66),부동산업(68),"전문, 과학 및 기술 서비스업(70~73)","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",교육 서비스업(85),"예술, 스포츠 및 여가관련 서비스업(90~91)"
2012-08-01,1826230903.8515594,4147535.9427603954,523019.87465099717,748296590.2735732,55217641.52841905,7138913.446313252,215604470.05958062,78928102.32674411,122101818.94071032,3166524.365424974,44146243.33999877,62425550.27168161,4569877.950821583,34047496.56954592,24684713.330351815,28345898.011697594,10027879.662579246
2012-09-01,1819525224.4247637,4059583.072538003,519850.878833833,750132578.8266467,54930073.35644393,7153147.045585422,211881499.83458316,78747611.40263966,120737196.98771629,3181128.2279674127,43938677.14909694,61736560.82484971,4587063.204990089,33726088.01624561,24426151.44970514,28455868.9095538,10139857.373257812
2012-10-01,1812887544.1175506,3966192.2826477196,515485.73740302055,751731023.8741622,54757811.25823271,7169096.7394460095,208137497.65875557,78584651.22488485,119547099.3936806,3190292.3505591857,43734690.174111634,61182095.64923573,4591483.963535957,33486146.988339767,24156909.10337805,28470360.39724888,10272688.624400299
2012-11-01,1806002359.90911,3862241.6818475453,509408.71921891044,753123850.4489306,54713390.41931906,7188424.269012399,204185057.36502367,78421385.60533138,118503825.32613671,3194846.079777053,43535519.58320368,60739903.30560416,4581473.082516557,33328524.942156702,23862812.189939234,28379552.982308414,10440666.556528263
2012-12-01,1799435453.1681142,3755494.6892176312,501796.7811801848,754149753.589931,54822668.551042825,7210455.526124568,200338708.60764217,78261673.88223456,117724112.8348422,3194704.6889964566,43368216.73936515,60452595.86410814,4555798.486577339,33279517.880274583,23566448.592346884,28178980.99121674,10638158.997974234
2013-01-01,1792876039.1114998,3639939.0,491917.73904,754802488.8695401,55116950.1876,7237257.6894499995,196404222.1141,78087896.43109,117207620.09418,3190077.157236,43236464.4195,60315732.40112,4510786.67481,33352706.19009,23251836.125752002,27844487.366247,10883769.83528
2013-02-01,1786656454.7956507,3520424.163590118,479899.5294237599,754983226.23106,55607663.76100696,7268055.560430507,192569965.53104255,77899822.50836648,117019415.12256162,3181312.217803301,43158114.348863035,60350556.14833357,4446068.112868168,33563656.94282346,22933539.805408724,27375357.259432983,11174627.533551687
2013-03-01,1781359410.8480935,3411069.9394268594,467573.928548928,754750969.115068,56189376.716273494,7296864.006444143,189230722.58517054,77718623.75660986,117100747.20578311,3170833.623926901,43131554.650073275,60517732.498212375,4373424.838957015,33865435.187372684,22650180.611771464,26850018.201138437,11470563.01143793
2013-04-01,1775863014.6313806,3290897.7254564934,452836.4592711481,754084268.2101315,56941421.15149191,7326470.466876141,185709264.00168046,77508131.85208338,117417622.0626199,3157682.8533439515,43145909.93532505,60834344.48672731,4281355.5037665805,34309804.44342873,22350059.979118578,26176898.454519436,11826343.227803277
2013-05-01,1770925359.7812479,3177929.56140776,438013.5769162052,753057311.4778876,57732428.6135685,7349482.01444934,182514974.93211308,77297177.46993668,117900348.7640934,3144679.2714897683,43198457.512549356,61253796.60982422,4184629.0250664586,34837390.264517866,22082152.469498146,25454726.79278214,12190243.037364012
2013-06-01,1766231207.5799775,3067228.276051571,422684.337861552,751631565.8774327,58567234.69505241,7363854.389953449,179475405.12014815,77074508.24814804,118526761.90654655,3132316.05401254,43287221.694531135,61784246.03276638,4081093.233345559,35469727.93472911,21838131.917383973,24657553.759503666,12577382.808354735
2013-07-01,1762096748.5915215,2968418.9622725695,408380.7086166913,749927665.3898635,59346131.64368841,7365235.052576688,176825425.62339747,76857180.94900383,119204425.36450121,3122692.7287638905,43401231.26996729,62372511.15700676,3981540.3382935007,36152967.72573352,21642868.06907807,23858055.74476991,12954037.127759367
2013-08-01,1758260290.48894,2877508.372192984,394716.3624330812,747861947.3905889,60073147.684462965,7350137.684112099,174428873.49039528,76633518.34934923,119924169.51806569,3116527.821832378,43542608.018190205,63038003.34788493,3883629.742642397,36919021.85294781,21492877.66980853,23025128.201958224,13336176.664468765
2013-09-01,1754880959.8680391,2800610.1959883445,382762.930883997,745516629.6302083,60672359.99704415,7314608.352294378,172420850.31544858,76413636.94293149,120608487.00368261,3115586.442272909,43702369.28548995,63741927.32585005,3795127.892590853,37732239.250598475,21405209.03945526,22207869.10275168,13701840.92517522
2013-10-01,1752059374.8123999,2742044.651506795,373373.0627122805,743009716.301169,61084203.57438603,7257308.246078241,170886729.2206054,76207169.26224071,121184404.77637695,3120965.1311208704,43869179.35275963,64440568.862535805,3722596.993225352,38550932.346914455,21388933.83028454,21453370.98848639,14031178.114748295
2013-11-01,1749621367.9239373,2700501.4088237286,366488.0152409328,740204010.5894487,61288236.416722044,7170838.99600077,169764737.8145272,76003162.05868563,121635970.17057294,3134382.548737927,44048680.032120556,65160697.75077807,3665497.913657111,39416043.577666536,21452501.3634668,20733529.30590427,14337004.42675675
2013-12-01,1747737572.0044868,2681143.751619068,363094.9684256949,737309176.1607413,61225445.81948399,7057353.97257803,169166032.4189621,75817468.09337622,121882027.56068003,3156274.9561954243,44224046.14469676,65836895.00717176,3631626.9466626756,40258705.56545865,21600936.99270429,20116031.325691443,14590840.477796253
2014-01-01,1746296338.9317102,2685275.20912,363534.96768,734162154.7943801,60843747.5046,6905709.1452,169091201.68919,75640519.03208,121884633.58895001,3189461.9284289996,44401489.90563,66494434.1392,3623022.290178,41121458.67216,21853670.761728,19581905.83686,14800469.0522
