,전체,중졸이하,고졸,전문대졸,대졸,대학원졸
2029-06-30,26331.898019754084,15020.064141275257,19650.381606285395,24214.953997446613,32114.73778071006,52322.38832137242
2029-07-31,26375.22900314388,15013.144003663021,19687.923909994366,24265.704790662196,32198.601089834505,52441.44762059377
2029-08-31,26480.72383312149,15075.868575903063,19769.05598683059,24370.86307678397,32321.31568419267,52589.03467645257
2029-09-30,26575.55895456834,15103.717561389181,19822.443875830584,24457.259360060914,32415.65157128501,52695.27357999374
2029-10-31,26646.420403725955,15131.464850249082,19881.636151221475,24527.15341607219,32525.24765547319,52839.46579167166
2029-11-30,26740.322495764787,15179.047748251009,19957.482730436775,24641.020482124084,32620.558145666604,52939.47112006415
2029-12-31,26841.12473666092,15259.61690037289,20051.580793624318,24740.658988552474,32716.264441291893,53061.40036068873
2030-01-31,26664.725769905715,15138.688488730188,19901.322759989962,24571.09864198683,32485.572227422428,52650.724939388565
2030-02-28,26463.647260573845,14981.869113081157,19718.748707735245,24390.353641154335,32243.332525627982,52193.4849670858
2030-03-31,26305.914980210335,14859.195174189994,19588.065090702894,24226.868756801552,32050.606456762755,51946.865780957414
2030-04-30,26114.334466322784,14737.5922278937,19443.91997191726,24074.222768703516,31863.454195897004,51673.302058461464
2030-05-31,25961.361855586427,14626.12795852849,19292.700513745138,23903.313348465614,31690.294741446287,51425.803305516456
2030-06-30,25770.15028470009,14497.920293062214,19141.278486383533,23704.374375808176,31459.670302479542,51133.72044556238
2030-07-31,25647.418803599925,14428.469442403668,19046.527527116046,23590.771258953027,31333.93159196213,50958.469594665
2030-08-31,25440.543925298665,14322.962370721181,18906.36367201598,23391.779805168757,31155.720196262857,50738.86871502428
2030-09-30,25256.287387352448,14213.697290897955,18750.284111520847,23222.546693864584,30981.83555035306,50537.97423545424
2030-10-31,24992.77366013435,14008.479855227457,18524.799672035908,22949.473498859814,30743.018481145846,50303.7072884746
2030-11-30,24732.283131145163,13806.755063063667,18296.06945084567,22695.245659077802,30491.314691935935,50069.028931209774
2030-12-31,24510.459963063557,13606.109208543665,18071.384380546915,22467.97150861513,30263.347029155717,49825.374736447055
2031-01-31,24616.74146489499,13698.874010762886,18139.08144544694,22518.293191440676,30377.94490116445,50090.7145092077
2031-02-28,24535.784393613412,13597.070920888464,18062.33577067525,22437.680637053872,30367.65667093195,50123.746499139896
2031-03-31,24456.94950686771,13377.376017069846,17913.743479068242,22345.602500015364,30330.43876085372,50085.960592429525
2031-04-30,24411.769234798307,13164.996914299843,17769.458120074505,22303.58981441843,30320.929942002473,50156.10037142962
2031-05-31,24319.46640395066,12930.159859540174,17620.92971567341,22189.966631250078,30294.795939514643,50291.200415804866
2031-06-30,24265.29581420306,12774.291665148245,17537.131516658712,22150.59189405806,30301.647982179373,50372.64972167917
2031-07-31,24308.69387813853,12792.843831087197,17531.590470214138,22158.555133274556,30371.1172574647,50522.72935640375
2031-08-31,24289.676543439906,12702.607143435387,17476.44957861287,22143.116420608654,30408.129131838665,50645.57079293653
2031-09-30,24245.17165050081,12533.349634795875,17359.244603803676,22062.89130042292,30415.6372355617,50639.507456526546
2031-10-31,24238.916389616694,12445.968397727114,17302.07334563399,22063.38215331512,30478.563521738688,50778.19811963217
2031-11-30,24219.786237636712,12353.669175374802,17260.043355265745,22048.556234983185,30531.075516364126,50949.15753565818
2031-12-31,24178.011827818125,12136.481728996392,17104.498265785936,22003.413204526576,30538.090218795372,50999.7099291148
2032-01-31,24527.01971049794,12385.720615038437,17397.231001504973,22320.71564095594,30952.98784076043,51688.28306746696
2032-02-29,24807.35388454383,12490.39123197027,17524.857382000697,22544.03209702995,31331.860390935086,52239.618246617036
2032-03-31,25069.913238543926,12564.898629565596,17708.922655134902,22788.20208320958,31670.56140077109,52810.04570031219
2032-04-30,25341.60316954499,12615.58629378579,17852.044020401387,23028.477661065266,31975.39664721726,53289.71888240699
2032-05-31,25597.794445379608,12571.418336712095,17962.713801513015,23289.072696382857,32301.010323338538,53815.118189716304
2032-06-30,25859.791237530753,12607.041552569708,18122.208990187704,23506.313690244013,32605.733063446205,54261.68277444649
2032-07-31,26280.384734349893,12863.873680768773,18431.33424800936,23905.0483127764,33015.11109733395,54801.32538956027
2032-08-31,26674.402138619214,13032.471909248623,18728.64816385974,24267.96919692903,33453.38428324624,55399.908911980056
2032-09-30,27065.29267472541,13122.001487546258,18982.828866371467,24606.683933108583,33900.084600562404,55998.869796937295
2032-10-31,27292.76280510649,13064.530181654332,19064.18065286705,24850.228776453812,34210.51534297693,56445.50247716296
2032-11-30,27519.731355952874,12966.331442674476,19135.802885369405,25045.83211043188,34505.54762749406,56971.44371112379
2032-12-31,27800.475636062092,12877.976142607715,19253.545447642988,25295.440067489533,34908.985868907665,57550.07099739961
2033-01-31,27750.496055861273,12768.18621285261,19159.754354688735,25269.823103342027,34826.89826223441,57443.43770744712
2033-02-28,27789.36923207945,12618.06769146553,19152.039585018578,25276.318414569592,34888.63577661774,57522.10928456833
2033-03-31,27655.685327340125,12172.183600838347,18867.101088420954,25162.62577108631,34774.50555143776,57455.39697884072
2033-04-30,27515.57083756322,11731.746635753012,18600.28785960828,25019.397058130715,34723.48867116628,57451.16229021558
2033-05-31,27469.840200107716,11466.721414203212,18416.53734783004,24955.007346187285,34743.67881468578,57468.19325736624
2033-06-30,27418.113476603656,11160.24258209389,18192.84798300881,24886.164456275335,34694.17873673711,57500.6776460223
2033-07-31,27343.108279192806,10841.006067126391,17975.718743477693,24797.746106052553,34653.36875681486,57520.31752184353
2033-08-31,27212.279871318206,10563.162939247577,17703.119826968537,24690.806548743363,34634.06646452095,57534.593458739575
2033-09-30,27089.449293957387,10275.45571532847,17498.154088153493,24567.06685659558,34537.26763746386,57450.05573841404
2033-10-31,27062.578961741314,10015.933870266894,17252.841241467428,24477.422917704855,34502.752590505996,57482.074807850986
2033-11-30,26954.936029744273,9417.543453249207,16823.76230075778,24299.024131954557,34507.475145727345,57582.09574146118
2033-12-31,26766.03416401012,8790.067801132931,16398.871867596783,24109.662964945182,34458.16077101212,57675.199307655574
