,전체 산업,"농업, 임업 및 어업(01~03)",광업(05~08),제조업(10~34),"전기, 가스, 증기 및 공기조절 공급업(35)","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",건설업(41~42),도매 및 소매업(45~47),운수 및 창고업(49~52),숙박 및 음식점업(55~56),정보통신업(58~63),금융 및 보험업(64~66),부동산업(68),"전문, 과학 및 기술 서비스업(70~73)","사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",교육 서비스업(85),"예술, 스포츠 및 여가관련 서비스업(90~91)"
2026-06-30,2782731177.0303183,3232637.8462372194,1237275.559785167,1085423969.1588504,196681356.40232524,10770077.400441898,235019880.67117023,151313525.19002932,216902279.49844867,6468003.704128801,116404402.80694184,260062743.41241878,6270018.441082149,124446122.25064695,47938882.02467919,49967274.58134189,28992995.796696555
2026-07-31,2798930664.9492784,3196983.4025187073,1331043.5044961355,1029603467.9272935,207094846.7724579,10772857.088169387,220300025.65172297,156545702.95742592,219142388.26427174,6474067.786317004,116768788.6065823,282169605.9086232,6230874.963069524,128270481.02123232,48190180.387659624,53303331.4244406,28679746.94258462
2026-08-31,2821800565.8654823,3168454.341851706,1413299.277101008,973905846.3306309,215763413.35200283,10786995.893639429,212006632.36588347,162523460.47225058,223001673.1941184,6506911.522250557,119795631.91433232,302536445.6373816,6223965.191789542,132889695.3860438,49132155.14014981,57560837.243523985,28538168.065725036
2026-09-30,2855428748.1653123,3153073.4127374897,1476935.0523125243,924211782.5166845,221891294.83908558,10809690.33042824,211199411.78334233,168962523.6890241,228503403.0392428,6578840.486680873,125688141.60102938,319017440.4785983,6244661.057765285,137968997.79032484,50767768.51302082,62604977.38737466,28606216.868609935
2026-10-31,2894139366.1489086,3153630.26562704,1531986.0200393475,885189870.4694407,225815772.11168367,10865588.708290612,218202225.24829382,175729361.1914096,235625593.90489295,6671998.162388171,134353288.38489652,331148939.1101402,6303489.718790311,143527284.75278646,53097103.60515846,68257864.4384627,28921703.34285721
2026-11-30,2942701801.4405255,3171587.499619832,1568562.8353993853,859726810.7765852,226694844.96771446,10948871.05604712,234901892.71660477,182583087.36659676,244276442.79398942,6782346.48435394,145944137.8390165,337023167.8427858,6388744.9798579,149317495.15869766,56124791.9574049,74274115.76926145,29491434.165238965
2026-12-31,2995186495.282401,3213263.195727609,1590671.4157688692,851743656.5281085,224399173.0914255,11069027.103846183,263398963.45320678,189338541.91759673,254610967.643518,6942227.224248591,160801170.76002544,334971918.63061464,6528463.398207592,155381568.7105022,59942496.52899156,80858677.77262552,30410217.759991035
2027-01-31,3049086895.8769593,3280343.1729615093,1596445.0979407171,864023645.3233995,219045463.26520932,11233567.720239136,300136012.90588534,195256201.73109385,266015212.62248594,7113250.825754521,177530729.5590998,324500448.29104125,6697135.960204801,161063266.90183946,64193771.9814395,87148575.97788267,31607771.696278967
2027-02-28,3090557324.575714,3369260.7002933538,1593506.5035642057,899278935.966268,210912657.68555006,11428730.119157428,339123307.37585634,199511022.87824273,276612092.32119083,7283709.135409382,193892580.3760649,305162410.5190299,6884892.758587561,165589537.15826815,68355525.49300836,92366789.98456898,32952607.34682762
2027-03-31,3123288125.6063075,3475544.198152245,1584583.1019482168,953917434.9671816,201110742.12377936,11655055.720941814,376265369.9625619,202249449.34802824,286720251.15216863,7442476.986074992,209613940.56552756,280130032.6355611,7071855.170195494,169209111.19337687,72314593.48980267,96803579.95520613,34440255.45964499
